d13C,d15N
-30.90184959,6.41
-30.78564811,7.25
-30.50383453,7.27
-30.09717683,7.76
-29.88487578,7.65
-30.6423748,6.79
-30.96294993,7.79
-30.59165575,7.46
-30.63379258,7.47
-30.58260365,6.98
-30.04671479,7.39
-30.32630727,7.25
-30.79233133,7.84
-30.91626068,7.23
-30.34899788,7.37
-30.05018932,6.93
-29.9711452,6.92
-30.02560535,6.94
-30.24468282,7.09
-29.80029299,7.26
-31.29468753,8.52
-31.2465856,7.32
-29.91301455,7.05
-30.85022788,6.84
-30.79007626,7.09
-30.91636879,8.05
-30.44844326,8.7
-31.09206426,8
-30.43717579,8.05
-30.72488366,7.36
-30.68980298,8.54
-30.05932785,7.81
-30.6680712,8
-30.7986598,7.42
-30.78761111,7.93
-30.08332431,7.73
-30.63421581,8.13
-30.07440776,7.26
-30.1674849,7.84
-30.84229373,8.07
-30.83926087,7.87
-30.93791561,8.01
-30.52544128,7.55
