Species,d13C,d15N
E. pullata_im,-30.90184959,6.41
E. pullata_im,-30.78564811,7.25
E. pullata_im,-30.50383453,7.27
E. pullata_im,-30.09717683,7.76
E. pullata_im,-29.88487578,7.65
E. pullata_im,-30.6423748,6.79
E. pullata_im,-30.96294993,7.79
E. pullata_im,-30.59165575,7.46
E. pullata_im,-30.63379258,7.47
E. pullata_im,-30.58260365,6.98
E. pullata_im,-30.04671479,7.39
E. pullata_im,-30.32630727,7.25
E. pullata_im,-30.79233133,7.84
E. pullata_im,-30.91626068,7.23
E. pullata_im,-30.34899788,7.37
A. hartfieldorum ,-30.05018932,6.93
A. hartfieldorum ,-29.9711452,6.92
A. hartfieldorum ,-30.02560535,6.94
A. hartfieldorum ,-30.24468282,7.09
A. hartfieldorum ,-29.80029299,7.26
A. hartfieldorum ,-31.29468753,8.52
A. hartfieldorum ,-31.2465856,7.32
A. hartfieldorum ,-29.91301455,7.05
A. hartfieldorum ,-30.85022788,6.84
F. escambia,-30.79007626,7.09
F. escambia,-30.91636879,8.05
F. escambia,-30.44844326,8.7
F. escambia,-31.09206426,8
F. escambia,-30.43717579,8.05
F. escambia,-30.72488366,7.36
F. escambia,-30.68980298,8.54
E. pullata_em,-30.05932785,7.81
E. pullata_em,-30.6680712,8
E. pullata_em,-30.7986598,7.42
E. pullata_em,-30.78761111,7.93
E. pullata_em,-30.08332431,7.73
E. pullata_em,-30.63421581,8.13
E. pullata_em,-30.07440776,7.26
E. pullata_em,-30.1674849,7.84
E. pullata_em,-30.84229373,8.07
E. pullata_em,-30.83926087,7.87
E. pullata_em,-30.93791561,8.01
E. pullata_em,-30.52544128,7.55
